ID,Case Number,Date,Block,IUCR,Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Location
12607375,JF130466,01/31/2022 02:27:00 PM,011XX S CANAL ST,860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,FALSE,FALSE,124,1,25,28,6,1173305,1895394,2022,2/7/2022 15:51,"(41.868385458, -87.639229711)"
12606306,JF129954,01/31/2022 04:00:00 PM,045XX S WESTERN AVE,460,BATTERY,SIMPLE,PARKING LOT / GARAGE (NON RESIDENTIAL),FALSE,FALSE,922,9,15,58,08B,1161126,1874541,2022,2/7/2022 15:51,"(41.811424087, -87.684519586)"
12605822,JF129268,01/31/2022 06:30:00 AM,002XX E HURON ST,460,BATTERY,SIMPLE,HOSPITAL BUILDING / GROUNDS,FALSE,FALSE,1834,18,42,8,08B,1178046,1905133,2022,2/7/2022 15:51,"(41.895003278, -87.62152816)"
12607693,JF131679,01/31/2022 09:00:00 AM,051XX N NEW ENGLAND AVE,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,RESIDENCE,FALSE,FALSE,1613,16,41,10,11,1129601,1933642,2022,2/7/2022 15:51,"(41.974200443, -87.798803212)"
12605729,JF129227,01/31/2022 03:15:00 AM,082XX S DREXEL AVE,460,BATTERY,SIMPLE,APARTMENT,FALSE,FALSE,631,6,8,44,08B,1183667,1850603,2022,2/7/2022 15:51,"(41.745239296, -87.602587289)"
12606546,JF130208,01/31/2022 08:50:00 PM,067XX S LAFLIN ST,326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,STREET,FALSE,FALSE,725,7,16,67,3,1167497,1859991,2022,2/7/2022 15:51,"(41.771362784, -87.661568119)"
12606572,JF130225,01/31/2022 07:43:00 PM,087XX S BUFFALO AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE - YARD (FRONT / BACK),FALSE,FALSE,424,4,10,46,14,1199560,1847624,2022,2/7/2022 15:51,"(41.736679584, -87.544453975)"
12606605,JF130266,01/31/2022 10:51:00 PM,002XX S WESTERN AVE,041A,BATTERY,AGGRAVATED - HANDGUN,SIDEWALK,FALSE,FALSE,1225,12,27,28,04B,1160442,1898863,2022,2/7/2022 15:51,"(41.878180416, -87.686356407)"
12609005,JF133171,01/31/2022 10:00:00 PM,001XX W ELM ST,5002,OTHER OFFENSE,OTHER VEHICLE OFFENSE,CHA PARKING LOT / GROUNDS,FALSE,FALSE,1824,18,27,8,26,1175121,1908069,2022,2/7/2022 15:51,"(41.903125898, -87.632182661)"
12605799,JF129282,01/31/2022 07:30:00 AM,045XX S WOOD ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,924,9,15,61,14,1165110,1874552,2022,2/7/2022 15:51,"(41.811370804, -87.669906163)"
12605730,JF129169,01/31/2022 12:13:00 AM,009XX E 81ST ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,FALSE,TRUE,631,6,8,44,08B,1183854,1851488,2022,2/7/2022 15:51,"(41.74766347, -87.601874532)"
12606494,JF130139,01/31/2022 07:20:00 AM,009XX W 18TH PL,610,BURGLARY,FORCIBLE ENTRY,APARTMENT,FALSE,FALSE,1235,12,25,31,5,1170608,1891377,2022,2/7/2022 15:51,"(41.857421911, -87.649248401)"
12607071,JF130443,01/31/2022 12:00:00 PM,113XX S EDBROOKE AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,FALSE,TRUE,531,5,9,49,08B,1179225,1829752,2022,2/7/2022 15:51,"(41.688123792, -87.619496824)"
12605868,JF129437,01/31/2022 10:00:00 AM,065XX S COTTAGE GROVE AVE,810,THEFT,OVER $500,CONVENIENCE STORE,FALSE,FALSE,321,3,20,42,6,1182684,1861922,2022,2/7/2022 15:51,"(41.776322631, -87.605838376)"
12605696,JF129208,01/31/2022 02:04:00 AM,0000X E 85TH ST,141A,WEAPONS VIOLATION,UNLAWFUL USE - HANDGUN,STREET,FALSE,FALSE,632,6,6,44,15,1177979,1848652,2022,2/7/2022 15:51,"(41.740016178, -87.62348787)"
12606303,JF129893,01/31/2022 04:14:00 PM,028XX W ARMITAGE AVE,860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,FALSE,FALSE,1414,14,1,22,6,1157185,1913161,2022,2/7/2022 15:51,"(41.917482141, -87.697926573)"
12606932,JF130112,01/31/2022 06:29:00 PM,044XX N BROADWAY,820,THEFT,$500 AND UNDER,RESTAURANT,FALSE,FALSE,1913,19,46,3,6,1168537,1929721,2022,2/7/2022 15:51,"(41.962685154, -87.655738273)"
12606090,JF129623,01/31/2022 12:00:00 PM,014XX W CERMAK RD,051A,ASSAULT,AGGRAVATED - HANDGUN,STREET,FALSE,FALSE,1235,12,25,31,04A,1167039,1889518,2022,2/7/2022 15:51,"(41.852397931, -87.662401967)"
